CustomerID,Recency,Frequency,MonetaryValue,Cluster
12452.0,17,23,428.57,medium
12453.0,135,43,707.09,low
12454.0,54,30,0.0,low
12455.0,74,90,2466.86,medium
12456.0,45,129,3153.89,medium
12457.0,59,67,1917.78,medium
12458.0,72,38,947.4,low
12461.0,95,35,826.88,low
12462.0,3,72,1124.01,medium
12463.0,47,88,1303.63,medium
12464.0,11,29,1212.05,medium
12465.0,8,51,733.89,medium
12468.0,144,40,724.04,low
12471.0,3,530,18757.92,high
12472.0,31,307,4720.48,high
12473.0,30,179,2848.23,medium
12474.0,18,456,7150.47,high
12475.0,54,36,723.38,low
12476.0,2,264,6546.58,high
12477.0,23,308,13117.01,high
12478.0,4,36,680.99,medium
12479.0,4,35,477.3,medium
12480.0,29,154,3281.63,medium
12481.0,23,208,5431.48,high
12483.0,18,81,2327.13,medium
12484.0,33,350,4495.27,high
12488.0,10,55,1298.66,medium
12489.0,337,15,334.93,low
12490.0,6,245,5417.93,high
12491.0,39,26,460.4,low
12492.0,64,20,263.21,low
12493.0,166,23,416.79,low
12494.0,10,81,1081.75,medium
12497.0,82,14,1043.1,low
12498.0,22,23,403.7,medium
12500.0,24,65,4206.27,medium
12501.0,316,160,2089.68,low
12502.0,96,147,3723.87,medium
12503.0,338,1,-1126.0,low
12504.0,19,15,114.0,low
12505.0,302,1,-4.5,low
12506.0,233,23,73.5,low
12507.0,135,22,1258.06,low
12508.0,27,69,398.27,medium
12509.0,285,7,176.5,low
12510.0,143,33,982.57,low
12512.0,67,34,138.03,low
12513.0,85,36,586.79,low
12514.0,268,51,1017.68,low
12515.0,354,16,383.7,low
12516.0,78,26,1312.06,low
12517.0,29,286,2464.89,medium
12518.0,1,124,2056.89,medium
12519.0,64,18,340.84,low
12520.0,80,155,2582.51,medium
12521.0,143,38,599.68,low
12522.0,40,12,192.72,low
12523.0,2,110,1745.57,medium
12524.0,10,144,4485.72,high
12526.0,1,71,1316.66,medium
12527.0,82,18,348.71,low
12528.0,10,95,1922.28,medium
12530.0,60,68,1623.63,medium
12531.0,15,17,125.22,medium
12532.0,31,16,349.83,low
12534.0,131,63,1089.18,low
12535.0,92,34,716.35,low
12536.0,8,273,4106.82,high
12538.0,30,21,363.95,low
12539.0,23,274,3852.5,high
12540.0,20,481,13309.04,high
12541.0,30,52,981.18,medium
12544.0,30,20,355.7,low
12545.0,76,50,1000.39,low
12546.0,47,70,1141.5,medium
12547.0,198,8,207.8,low
12548.0,167,5,95.2,low
12550.0,80,57,964.83,medium
12551.0,358,10,168.0,low
12552.0,39,20,437.82,low
12553.0,9,196,3652.25,high
12556.0,51,121,603.71,medium
12557.0,17,28,11370.96,high
12558.0,2,22,0.0,medium
12559.0,311,22,536.21,low
12560.0,6,111,2101.39,medium
12561.0,303,16,238.85,low
12562.0,9,168,3781.74,high
12564.0,262,21,456.9,low
12565.0,282,10,131.17,low
12566.0,73,20,346.7,low
12567.0,23,380,7172.56,high
12569.0,3,191,4064.99,high
12571.0,40,34,519.61,medium
12572.0,9,62,1004.72,medium
12573.0,228,28,160.54,low
12574.0,316,11,218.45,low
12576.0,36,89,1306.98,medium
12577.0,36,148,595.4,medium
12578.0,22,120,2753.36,medium
12579.0,74,31,410.72,low
12580.0,247,24,415.7,low
12581.0,40,15,197.71,low
12582.0,239,22,511.36,low
12583.0,3,231,6331.48,high
12584.0,4,126,1893.95,medium
12585.0,235,97,1982.81,low
12586.0,18,11,196.94,low
12587.0,8,4,144.0,low
12588.0,40,10,214.9,low
12589.0,29,35,646.68,medium
12590.0,191,70,9861.38,high
12591.0,318,26,452.85,low
12592.0,93,18,437.6,low
12593.0,109,21,418.1,low
12594.0,38,119,3320.22,medium
12596.0,52,27,618.27,low
12597.0,20,214,3683.13,medium
12598.0,10,133,3002.68,medium
12599.0,30,62,1032.58,medium
12600.0,29,63,2504.54,medium
12601.0,190,29,569.56,low
12602.0,59,12,153.12,low
12603.0,22,2,739.2,low
12604.0,80,16,254.18,low
12607.0,59,202,0.0,medium
12609.0,79,60,1126.85,medium
12610.0,23,111,2057.99,medium
12611.0,53,65,1193.32,medium
12612.0,58,21,643.59,low
12613.0,32,163,3218.98,medium
12614.0,278,20,315.6,low
12615.0,3,105,2291.19,medium
12616.0,86,36,657.25,low
12617.0,30,42,355.53,medium
12618.0,22,11,177.31,low
12619.0,17,95,3214.81,medium
12620.0,15,92,1339.41,medium
12621.0,2,460,13147.46,high
12622.0,233,11,180.1,low
12623.0,277,18,305.1,low
12624.0,107,38,641.13,low
12625.0,212,91,2614.32,low
12626.0,24,307,6388.35,high
12627.0,11,230,4478.53,high
12628.0,5,43,769.61,medium
12630.0,10,64,1270.88,medium
12631.0,58,31,640.5,low
12633.0,59,103,2140.63,medium
12635.0,90,101,1689.18,medium
12637.0,68,394,5953.25,high
12638.0,34,39,671.69,medium
12639.0,239,22,486.1,low
12640.0,24,53,1174.58,medium
12641.0,116,10,185.9,low
12642.0,26,47,1013.26,medium
12643.0,129,24,3344.64,low
12644.0,130,31,477.91,low
12645.0,34,74,1755.38,medium
12646.0,5,45,1346.97,medium
12647.0,23,92,2701.12,medium
12648.0,155,21,318.05,low
12649.0,108,31,623.51,low
12650.0,4,20,314.44,medium
12651.0,335,9,114.0,low
12652.0,323,51,914.53,low
12653.0,149,43,2209.85,low
12654.0,11,38,601.98,medium
12656.0,18,130,3982.72,medium
12657.0,12,56,1152.06,medium
12658.0,19,36,686.05,medium
12659.0,30,5,91.68,low
12660.0,12,13,245.1,medium
12662.0,1,217,3555.6,high
12664.0,9,38,4863.88,medium
12665.0,325,4,61.75,low
12666.0,360,2,-227.44,low
12667.0,59,33,620.13,low
12668.0,8,168,3743.18,high
12669.0,151,102,1607.73,medium
12670.0,11,94,2986.15,medium
12672.0,330,10,225.9,low
12673.0,6,42,610.52,medium
12674.0,12,91,1919.31,medium
12676.0,25,45,1331.39,medium
12678.0,43,167,17588.26,high
12679.0,53,56,1058.67,medium
12680.0,1,52,862.81,medium
12681.0,15,605,12644.07,high
12682.0,4,476,11212.93,high
12683.0,5,308,7158.01,high
12684.0,8,105,2283.63,medium
12685.0,29,157,2863.08,medium
12688.0,114,171,4873.81,medium
12689.0,26,72,1247.61,medium
12690.0,206,16,389.01,low
12691.0,29,32,1035.8,medium
12693.0,121,41,830.96,low
12694.0,71,37,869.67,low
12695.0,8,27,582.1,medium
12697.0,22,43,939.02,medium
12700.0,8,270,4867.99,high
12701.0,80,53,797.71,low
12702.0,20,12,219.0,low
12703.0,65,22,274.7,low
12704.0,8,90,2220.84,medium
12705.0,16,348,6814.24,high
12707.0,292,33,603.42,low
12708.0,30,160,2419.88,medium
12709.0,4,250,8771.4,high
12710.0,97,79,1130.57,medium
12712.0,23,121,3783.75,medium
12713.0,1,38,848.55,medium
12714.0,10,259,4708.86,high
12715.0,107,21,353.86,low
12716.0,4,69,1053.49,medium
12717.0,152,56,980.98,low
12718.0,72,19,238.25,low
12719.0,6,42,608.1,medium
12720.0,3,329,5239.89,high
12721.0,32,161,2656.13,medium
12722.0,86,57,904.33,low
12723.0,4,69,725.07,medium
12724.0,6,53,1031.41,medium
12726.0,29,124,2609.1,medium
12727.0,11,141,3947.7,medium
12728.0,72,46,836.33,low
12729.0,114,26,453.01,low
12731.0,24,277,18793.41,high
12732.0,180,12,236.26,low
12733.0,235,22,383.95,low
12734.0,353,4,110.4,low
12735.0,316,43,779.57,low
12736.0,333,4,234.0,low
12739.0,79,38,1013.04,low
12740.0,64,27,427.6,low
12743.0,135,134,546.43,medium
12744.0,52,229,9120.39,high
12747.0,3,96,3837.45,high
12748.0,1,4270,27078.7,high
12749.0,4,231,3868.2,high
12750.0,129,15,275.88,low
12752.0,82,53,4366.78,medium
12753.0,4,230,21024.01,high
12754.0,236,65,2949.12,low
12755.0,250,5,-1591.2,low
12756.0,87,4,112.08,low
12757.0,16,377,4227.7,high
12758.0,117,97,2791.59,medium
12759.0,53,95,1531.44,medium
12762.0,8,69,1898.52,medium
12763.0,139,2,174.0,low
12764.0,317,45,1693.88,low
12766.0,4,257,5840.34,high
12769.0,239,32,1143.6,low
12770.0,211,12,1351.45,low
12772.0,60,55,892.47,medium
12775.0,18,67,1351.24,medium
12778.0,20,51,804.23,medium
12779.0,22,151,3620.54,medium
12781.0,22,30,707.72,medium
12782.0,5,107,2273.32,medium
12783.0,3,86,1603.87,medium
12784.0,10,59,574.42,medium
12785.0,3,15,305.71,medium
12787.0,10,20,463.66,medium
12789.0,66,4,91.85,low
12790.0,193,21,324.92,low
12792.0,257,25,400.54,low
12793.0,335,17,413.68,low
12794.0,54,45,860.41,medium
12795.0,19,14,430.48,low
12797.0,361,4,-59.85,low
12798.0,11,8,6977.04,medium
12802.0,184,26,412.58,low
12808.0,37,21,354.25,low
12809.0,169,26,484.36,low
12811.0,261,31,514.85,low
12812.0,45,15,229.64,low
12814.0,102,2,125.92,low
12815.0,148,47,1063.46,low
12816.0,96,29,572.2,low
12817.0,282,4,166.04,low
12818.0,179,16,1517.88,low
12820.0,4,59,942.34,medium
12821.0,215,6,92.72,low
12822.0,71,47,918.98,low
12823.0,75,5,1759.5,low
12824.0,60,25,397.12,low
12826.0,3,85,1313.12,medium
12827.0,6,25,430.15,medium
12828.0,3,56,1018.71,medium
12829.0,323,12,253.05,low
12830.0,38,39,6748.4,high
12831.0,263,9,215.05,low
12832.0,33,27,383.03,medium
12833.0,146,24,417.38,low
12834.0,283,18,312.38,low
12836.0,60,175,2612.86,medium
12837.0,174,12,134.1,low
12838.0,34,64,292.34,medium
12839.0,3,294,5181.01,high
12840.0,144,116,2714.27,medium
12841.0,5,392,3370.41,high
12842.0,71,34,1118.99,low
12843.0,66,108,1680.76,medium
12844.0,30,52,325.96,medium
12845.0,268,27,354.09,low
12847.0,23,91,871.54,medium
12849.0,32,51,1050.89,medium
12851.0,97,50,135.18,low
12852.0,291,20,299.75,low
12853.0,108,84,1881.7,medium
12854.0,79,115,1289.15,medium
12856.0,8,317,2162.68,medium
12857.0,211,46,1106.4,low
12863.0,53,6,504.2,low
12864.0,139,3,147.12,low
12865.0,27,96,1548.07,medium
12866.0,284,26,559.12,low
12867.0,27,551,3986.22,high
12868.0,186,95,1403.76,low
12871.0,85,11,380.64,low
12872.0,327,28,221.44,low
12873.0,283,4,374.0,low
12875.0,144,2,343.23,low
12876.0,58,85,2218.02,medium
12877.0,4,154,1535.77,medium
12878.0,19,49,841.64,medium
12879.0,45,12,552.57,low
12881.0,276,7,298.0,low
12882.0,10,13,1463.04,medium
12883.0,25,42,703.47,medium
12884.0,89,7,309.05,low
12885.0,64,72,1158.27,medium
12886.0,68,86,1351.09,medium
12888.0,215,7,313.77,low
12890.0,25,82,380.47,medium
12891.0,186,3,331.0,low
12893.0,31,34,188.14,medium
12895.0,43,24,347.3,low
12897.0,205,4,216.5,low
12901.0,9,125,16293.1,high
12902.0,265,10,138.68,low
12904.0,19,72,509.58,medium
12906.0,12,63,2919.81,medium
12908.0,59,4,246.0,low
12909.0,40,96,2128.83,medium
12910.0,24,75,3075.04,medium
12912.0,3,24,1662.3,medium
12913.0,5,46,2066.01,medium
12915.0,149,9,164.0,low
12916.0,139,109,2982.35,medium
12917.0,129,2,594.0,low
12919.0,9,52,1301.44,medium
12920.0,18,28,164.23,medium
12921.0,4,706,15701.94,high
12922.0,162,28,405.38,low
12923.0,65,29,176.97,low
12924.0,89,31,929.95,low
12925.0,5,45,694.05,medium
12928.0,36,84,2062.7,medium
12929.0,123,9,105.1,low
12930.0,79,27,409.9,low
12931.0,22,102,33462.81,high
12933.0,25,107,606.28,medium
12935.0,3,130,2156.45,medium
12936.0,18,63,1012.9,medium
12937.0,16,120,1504.27,medium
12938.0,26,9,114.14,low
12939.0,65,47,11581.8,high
12940.0,47,103,876.29,medium
12942.0,132,59,425.15,low
12943.0,302,1,-3.75,low
12944.0,36,30,604.51,medium
12945.0,289,23,462.95,low
12947.0,144,86,1103.25,low
12948.0,17,118,2053.7,medium
12949.0,31,219,4143.02,medium
12950.0,3,23,1843.0,medium
12951.0,9,65,1042.07,medium
12952.0,6,80,1382.84,medium
12953.0,10,17,329.85,medium
12955.0,2,183,4734.26,high
12956.0,307,19,108.07,low
12957.0,5,244,3979.04,high
12962.0,8,16,266.39,medium
12963.0,9,80,1475.23,medium
12965.0,90,109,771.91,medium
12966.0,10,10,160.18,medium
12967.0,4,18,-173.65,medium
12968.0,113,5,135.95,low
12970.0,8,151,452.24,medium
12971.0,4,290,10662.07,high
12974.0,198,8,144.8,low
12976.0,212,22,738.6,low
12977.0,157,9,39.24,low
12980.0,156,24,7092.06,low
12981.0,30,20,372.22,low
12982.0,240,34,377.2,low
12984.0,19,4,97.5,low
12985.0,1,78,1215.62,medium
12987.0,74,30,545.0,low
12988.0,293,92,535.32,low
12989.0,4,68,6854.51,high
12990.0,32,13,409.5,low
12991.0,24,31,503.76,medium
12993.0,24,27,414.76,medium
12994.0,5,73,902.22,medium
12995.0,78,5,200.72,low
12997.0,23,67,1197.94,medium
12999.0,197,28,455.88,low
13000.0,107,31,534.85,low
13001.0,5,342,9797.92,high
13002.0,319,7,120.95,low
13003.0,106,6,149.05,low
13004.0,12,409,5613.43,high
13005.0,174,29,468.95,low
13006.0,57,4,81.57,low
13008.0,324,15,178.47,low
13012.0,10,107,1311.62,medium
13013.0,2,155,3258.65,high
13014.0,3,123,3365.43,high
13015.0,54,176,3346.28,medium
13016.0,74,47,789.89,low
13017.0,8,1,204.0,low
13018.0,17,459,7272.75,high
13021.0,5,133,2604.68,medium
13023.0,65,40,689.9,low
13026.0,2,43,936.15,medium
13027.0,114,26,6912.0,low
13028.0,23,47,659.68,medium
13029.0,31,10,1247.5,low
13030.0,12,39,371.74,medium
13032.0,39,75,996.52,medium
13033.0,358,11,190.55,low
13034.0,55,26,476.91,low
13035.0,58,30,886.63,low
13037.0,139,48,881.07,low
13038.0,81,28,908.46,low
13040.0,9,43,676.99,medium
13043.0,254,14,471.57,low
13044.0,292,33,560.47,low
13045.0,100,18,305.28,low
13046.0,31,35,629.31,medium
13047.0,32,179,2712.47,medium
13048.0,15,137,1805.91,medium
13049.0,65,14,656.68,low
13050.0,10,404,5356.6,high
13052.0,213,18,348.15,low
13055.0,65,78,1201.96,medium
13058.0,25,8,271.4,low
13059.0,250,8,183.4,low
13060.0,254,15,307.53,low
13061.0,73,10,248.61,low
13062.0,192,11,346.98,low
13064.0,13,69,1119.49,medium
13066.0,25,49,430.9,medium
13067.0,83,15,115.46,low
13068.0,11,2,344.0,low
13069.0,1,427,3385.32,high
13070.0,193,9,228.8,low
13072.0,267,7,177.15,low
13075.0,130,22,919.61,low
13077.0,2,98,415.55,medium
13078.0,2,370,11917.89,high
13079.0,5,6,220.1,medium
13080.0,180,6,58.08,low
13081.0,2,983,25597.7,high
13082.0,127,75,3595.48,medium
13083.0,5,18,303.75,medium
13085.0,158,29,272.38,low
13089.0,3,1816,54155.26,high
13090.0,9,153,7680.99,high
13091.0,22,24,319.82,medium
13092.0,71,26,459.83,low
13093.0,268,157,6942.07,high
13094.0,22,27,1485.18,medium
13095.0,71,6,74.4,low
13097.0,33,437,5893.32,high
13098.0,2,605,28658.88,high
13099.0,100,1,207.36,low
13101.0,235,8,101.19,low
13102.0,2,299,6019.47,high
13103.0,40,8,243.94,low
13104.0,4,20,1098.48,medium
13106.0,129,2,59.5,low
13107.0,45,60,1524.07,medium
13109.0,3,50,766.84,medium
13110.0,32,146,1452.87,medium
13113.0,1,266,10168.88,high
13115.0,9,131,2210.63,medium
13116.0,118,31,485.19,low
13117.0,22,50,596.76,medium
13118.0,20,82,1125.0,medium
13120.0,239,1,30.6,low
13121.0,270,53,254.73,low
13122.0,95,55,922.39,low
13124.0,90,235,3866.33,medium
13126.0,5,129,1832.85,medium
13127.0,78,15,259.17,low
13130.0,95,2,64.0,low
13131.0,24,46,1039.3,medium
13132.0,262,3,77.3,low
13133.0,274,7,109.8,low
13134.0,73,105,1740.63,medium
13135.0,197,1,3096.0,low
13136.0,51,136,2565.48,medium
13137.0,11,705,3605.08,high
13138.0,23,49,769.16,medium
13139.0,17,174,5055.79,high
13140.0,109,30,264.21,low
13141.0,85,136,2385.8,medium
13142.0,20,23,307.09,medium
13144.0,333,3,110.95,low
13145.0,40,6,319.77,low
13146.0,27,17,228.91,low
13147.0,11,4,712.8,low
13148.0,30,347,3348.48,medium
13149.0,15,86,1676.06,medium
13151.0,204,75,1250.37,low
13153.0,6,15,486.22,medium
13154.0,145,1,-611.86,low
13155.0,34,33,592.06,medium
13157.0,50,89,1721.57,medium
13158.0,95,79,1201.06,medium
13159.0,9,122,1379.75,medium
13160.0,23,4,91.8,low
13161.0,314,8,112.75,low
13162.0,123,82,1644.99,medium
13165.0,47,42,1021.48,medium
13166.0,283,42,414.7,low
13167.0,19,65,791.33,medium
13168.0,37,133,1310.14,medium
13169.0,64,13,712.88,low
13170.0,27,32,116.01,medium
13171.0,9,48,426.81,medium
13173.0,5,20,187.71,medium
13174.0,17,145,1401.06,medium
13176.0,47,72,492.84,medium
13177.0,65,17,282.45,low
13178.0,27,265,5725.47,high
13182.0,46,11,121.18,low
13183.0,8,94,3957.78,medium
13184.0,15,183,1648.79,medium
13185.0,268,1,71.4,low
13186.0,40,84,1539.69,medium
13187.0,338,37,236.02,low
13188.0,12,2,114.6,low
13189.0,19,29,260.68,medium
13192.0,96,63,911.94,low
13193.0,62,29,117.88,low
13194.0,136,3,60.7,low
13196.0,12,110,1797.78,medium
13198.0,11,229,3384.09,medium
13199.0,4,116,9335.28,high
13200.0,20,46,870.09,medium
13203.0,10,57,869.46,medium
13207.0,16,8,250.26,low
13208.0,59,150,1205.9,medium
13209.0,31,329,5820.16,high
13210.0,94,22,353.48,low
13211.0,11,56,1197.42,medium
13212.0,10,143,780.58,medium
13213.0,57,92,1518.43,medium
13216.0,268,5,333.74,low
13217.0,123,7,133.62,low
13218.0,128,5,62.64,low
13220.0,79,21,819.29,low
13221.0,241,66,847.41,low
13223.0,201,5,163.2,low
13224.0,61,109,2150.85,medium
13225.0,4,34,6083.04,high
13226.0,274,16,108.21,low
13227.0,202,9,257.7,low
13228.0,82,2,358.0,low
13229.0,226,10,160.95,low
13230.0,5,599,2669.96,high
13232.0,13,207,1357.6,medium
13233.0,75,43,605.12,low
13235.0,212,59,101.17,low
13236.0,25,39,727.27,medium
13238.0,12,32,680.83,medium
13239.0,262,21,329.56,low
13240.0,97,46,439.58,low
13242.0,113,13,270.4,low
13243.0,204,58,600.07,low
13244.0,93,27,121.74,low
13245.0,51,16,430.5,low
13246.0,19,143,1922.1,medium
13247.0,18,25,501.12,medium
13248.0,125,26,465.68,low
13249.0,93,23,711.41,low
13253.0,157,36,1030.4,low
13255.0,4,8,164.96,medium
13258.0,12,38,698.58,medium
13259.0,62,87,292.32,medium
13260.0,62,8,557.62,low
13261.0,269,9,944.1,low
13262.0,264,11,200.29,low
13263.0,2,1677,7454.07,high
13265.0,54,91,2107.66,medium
13266.0,12,202,3717.67,high
13267.0,3,206,4089.89,high
13268.0,18,447,3167.64,high
13269.0,2,308,4964.49,high
13271.0,38,101,178.26,medium
13272.0,32,15,276.56,low
13273.0,114,16,138.98,low
13276.0,64,30,590.93,low
13277.0,16,8,258.4,low
13278.0,41,46,542.73,medium
13279.0,65,11,126.3,low
13280.0,123,85,814.86,low
13282.0,19,40,1047.84,medium
13283.0,60,7,93.66,low
13284.0,323,14,196.15,low
13285.0,24,187,2709.12,medium
13291.0,156,42,361.11,low
13292.0,39,31,578.94,medium
13294.0,190,54,873.74,low
13295.0,360,10,201.2,low
13296.0,138,5,87.4,low
13297.0,8,59,2089.85,medium
13298.0,2,2,360.0,medium
13299.0,269,5,142.5,low
13300.0,165,22,365.29,low
13301.0,104,81,618.09,low
13302.0,156,1,63.75,low
13304.0,352,21,300.42,low
13305.0,5,76,1864.66,medium
13307.0,121,1,15.0,low
13308.0,23,57,1367.61,medium
13309.0,8,107,1456.79,medium
13310.0,9,77,1083.63,medium
13311.0,5,26,598.57,medium
13313.0,23,78,1555.32,medium
13314.0,2,75,578.66,medium
13316.0,38,88,5815.49,high
13317.0,65,135,2140.07,medium
13318.0,2,20,640.76,medium
13319.0,6,465,9933.21,high
13320.0,71,110,1491.7,medium
13321.0,73,11,567.36,low
13322.0,18,25,199.48,medium
13323.0,4,21,787.85,medium
13324.0,33,77,7072.8,high
13325.0,82,12,675.3,low
13327.0,39,88,2872.57,medium
13328.0,317,17,1308.48,low
13329.0,32,12,436.2,low
13330.0,93,53,1140.93,low
13332.0,15,21,350.9,medium
13334.0,83,268,3536.82,medium
13336.0,78,51,795.12,low
13338.0,155,24,431.82,low
13339.0,201,54,860.12,low
13340.0,46,134,10736.48,high
13341.0,261,42,775.85,low
13343.0,173,22,303.93,low
13344.0,68,119,2543.72,medium
13345.0,277,22,377.6,low
13347.0,71,8,341.36,low
13348.0,65,14,233.76,low
13349.0,11,16,247.32,medium
13350.0,17,43,910.72,medium
13351.0,67,16,373.94,low
13352.0,8,27,389.28,medium
13354.0,72,51,743.53,low
13355.0,123,32,674.7,low
13356.0,81,42,768.24,low
13357.0,258,90,609.95,low
13358.0,269,29,439.03,low
13359.0,60,24,431.26,low
13362.0,4,169,3085.49,medium
13363.0,18,60,992.5,medium
13364.0,67,20,0.0,low
13365.0,9,132,2191.22,medium
13366.0,51,1,56.16,low
13368.0,257,29,623.4,low
13369.0,355,5,-44.53,low
13372.0,90,23,378.64,low
13373.0,61,158,3312.25,medium
13375.0,82,38,772.9,low
13376.0,100,53,1019.76,low
13379.0,27,97,572.56,medium
13381.0,22,173,3626.81,medium
13382.0,281,15,222.99,low
13384.0,31,155,4122.28,medium
13385.0,330,35,534.57,low
13388.0,122,36,627.15,low
13389.0,12,51,797.96,medium
13390.0,75,13,544.08,low
13391.0,204,1,59.8,low
13394.0,2,164,2312.8,medium
13395.0,186,21,307.72,low
13396.0,22,47,1325.29,medium
13397.0,73,39,1539.18,low
13398.0,193,26,457.34,low
13402.0,128,22,312.95,low
13403.0,18,3,75.0,low
13404.0,2,11,252.49,medium
13405.0,75,27,572.45,low
13408.0,2,486,25949.58,high
13410.0,9,30,988.91,medium
13411.0,108,18,213.55,low
13414.0,134,24,1390.5,low
13416.0,44,19,712.5,low
13417.0,5,28,640.83,medium
13418.0,12,291,5222.2,high
13419.0,64,16,221.06,low
13420.0,135,10,140.35,low
13421.0,41,105,1848.98,medium
13422.0,52,128,2601.55,medium
13425.0,109,78,1624.21,medium
13426.0,1,159,3550.7,high
13427.0,20,29,582.6,medium
13428.0,11,74,218.47,medium
13429.0,11,67,1006.8,medium
13430.0,19,54,648.69,medium
13431.0,68,46,1269.1,medium
13434.0,75,10,534.24,low
13435.0,6,103,3794.49,medium
13436.0,2,12,196.89,medium
13437.0,15,167,3408.06,medium
13439.0,256,54,283.71,low
13441.0,92,13,296.64,low
13447.0,24,62,1104.23,medium
13448.0,17,181,3021.71,medium
13449.0,24,19,291.88,low
13450.0,27,71,2043.72,medium
13451.0,27,444,2916.45,medium
13452.0,260,2,590.0,low
13453.0,166,17,356.98,low
13455.0,25,23,314.41,medium
13456.0,18,65,1737.82,medium
13458.0,8,394,9537.92,high
13460.0,30,17,183.44,low
13461.0,39,27,1445.0,medium
13462.0,184,10,143.25,low
13464.0,59,41,674.68,low
13466.0,101,18,297.95,low
13467.0,11,99,1083.71,medium
13468.0,2,272,5074.52,high
13470.0,100,10,165.0,low
13471.0,2,260,2531.58,high
13473.0,61,22,417.54,low
13474.0,237,64,229.59,low
13475.0,192,86,1431.78,low
13476.0,179,61,1092.77,low
13477.0,38,81,1441.53,medium
13479.0,199,16,291.0,low
13481.0,46,111,1781.06,medium
13482.0,233,11,184.64,low
13483.0,66,10,140.34,low
13484.0,242,8,313.8,low
13485.0,234,23,454.24,low
13486.0,79,69,1122.41,medium
13487.0,58,34,575.4,low
13488.0,18,382,7528.69,high
13489.0,106,14,449.52,low
13491.0,52,79,1116.92,medium
13492.0,137,50,1269.84,low
13493.0,276,8,618.63,low
13494.0,312,18,316.26,low
13495.0,8,34,1533.92,medium
13496.0,11,36,617.93,medium
13497.0,283,10,194.55,low
13499.0,18,45,1146.96,medium
13500.0,24,67,1136.77,medium
13501.0,243,53,1310.47,low
13502.0,17,18,292.0,medium
13503.0,72,17,216.85,low
13504.0,65,22,295.93,low
13505.0,68,227,4282.88,medium
13506.0,313,12,151.7,low
13507.0,4,162,2479.16,medium
13508.0,244,12,110.97,low
13509.0,9,44,979.72,medium
13510.0,2,117,1785.16,medium
13512.0,261,15,251.21,low
13513.0,127,10,205.1,low
13514.0,74,4,152.2,low
13515.0,73,59,891.12,medium
13516.0,22,44,1389.41,medium
13517.0,60,143,2109.07,medium
13518.0,86,38,659.44,low
13519.0,51,9,110.8,low
13520.0,59,89,3184.35,medium
13521.0,2,436,1093.65,medium
13522.0,31,5,125.8,low
13523.0,34,147,3188.43,medium
13524.0,41,27,680.18,low
