CustomerID,Recency,Frequency,MonetaryValue
12974.00,198,8,144.80
12976.00,212,22,738.60
12977.00,157,9,39.24
12980.00,156,24,7092.06
12981.00,30,20,372.22
12982.00,240,34,377.20
12984.00,19,4,97.50
12985.00,1,78,1215.62
12987.00,74,30,545.00
12988.00,293,92,535.32
12989.00,4,68,6854.51
12990.00,32,13,409.50
12991.00,24,31,503.76
12993.00,24,27,414.76
12994.00,5,73,902.22
12995.00,78,5,200.72
12997.00,23,67,1197.94
12999.00,197,28,455.88
13000.00,107,31,534.85
13001.00,5,342,9797.92
13002.00,319,7,120.95
13003.00,106,6,149.05
13004.00,12,409,5613.43
13005.00,174,29,468.95
13006.00,57,4,81.57
13008.00,324,15,178.47
13012.00,10,107,1311.62
13013.00,2,155,3258.65
13014.00,3,123,3365.43
13015.00,54,176,3346.28
13016.00,74,47,789.89
13017.00,8,1,204.00
13018.00,17,459,7272.75
13021.00,5,133,2604.68
13023.00,65,40,689.90
13026.00,2,43,936.15
13027.00,114,26,6912.00
13028.00,23,47,659.68
13029.00,31,10,1247.50
13030.00,12,39,371.74
13032.00,39,75,996.52
13033.00,358,11,190.55
13034.00,55,26,476.91
13035.00,58,30,886.63
13037.00,139,48,881.07
13038.00,81,28,908.46
13040.00,9,43,676.99
13043.00,254,14,471.57
13044.00,292,33,560.47
13045.00,100,18,305.28
13046.00,31,35,629.31
13047.00,32,179,2712.47
13048.00,15,137,1805.91
13049.00,65,14,656.68
13050.00,10,404,5356.60
13052.00,213,18,348.15
13055.00,65,78,1201.96
13058.00,25,8,271.40
13059.00,250,8,183.40
13060.00,254,15,307.53
13061.00,73,10,248.61
13062.00,192,11,346.98
13064.00,13,69,1119.49
13066.00,25,49,430.90
13067.00,83,15,115.46
13068.00,11,2,344.00
13069.00,1,427,3385.32
13070.00,193,9,228.80
13072.00,267,7,177.15
13075.00,130,22,919.61
13077.00,2,98,415.55
13078.00,2,370,11917.89
13079.00,5,6,220.10
13080.00,180,6,58.08
13081.00,2,983,25597.70
13082.00,127,75,3595.48
13083.00,5,18,303.75
13085.00,158,29,272.38
13089.00,3,1816,54155.26
13090.00,9,153,7680.99
13091.00,22,24,319.82
13092.00,71,26,459.83
13093.00,268,157,6942.07
13094.00,22,27,1485.18
13095.00,71,6,74.40
13097.00,33,437,5893.32
13098.00,2,605,28658.88
13099.00,100,1,207.36
13101.00,235,8,101.19
13102.00,2,299,6019.47
13103.00,40,8,243.94
13104.00,4,20,1098.48
13106.00,129,2,59.50
13107.00,45,60,1524.07
13109.00,3,50,766.84
13110.00,32,146,1452.87
13113.00,1,266,10168.88
13115.00,9,131,2210.63
13116.00,118,31,485.19
13117.00,22,50,596.76
13118.00,20,82,1125.00
13120.00,239,1,30.60
13121.00,270,53,254.73
13122.00,95,55,922.39
13124.00,90,235,3866.33
13126.00,5,129,1832.85
13127.00,78,15,259.17
13130.00,95,2,64.00
13131.00,24,46,1039.30
13132.00,262,3,77.30
13133.00,274,7,109.80
13134.00,73,105,1740.63
13135.00,197,1,3096.00
13136.00,51,136,2565.48
13137.00,11,705,3605.08
13138.00,23,49,769.16
13139.00,17,174,5055.79
13140.00,109,30,264.21
13141.00,85,136,2385.80
13142.00,20,23,307.09
13144.00,333,3,110.95
13145.00,40,6,319.77
13146.00,27,17,228.91
13147.00,11,4,712.80
13148.00,30,347,3348.48
13149.00,15,86,1676.06
13151.00,204,75,1250.37
13153.00,6,15,486.22
13154.00,145,1,-611.86
13155.00,34,33,592.06
13157.00,50,89,1721.57
13158.00,95,79,1201.06
13159.00,9,122,1379.75
13160.00,23,4,91.80
13161.00,314,8,112.75
13162.00,123,82,1644.99
13165.00,47,42,1021.48
13166.00,283,42,414.70
13167.00,19,65,791.33
13168.00,37,133,1310.14
13169.00,64,13,712.88
13170.00,27,32,116.01
13171.00,9,48,426.81
13173.00,5,20,187.71
13174.00,17,145,1401.06
13176.00,47,72,492.84
13177.00,65,17,282.45
13178.00,27,265,5725.47
13182.00,46,11,121.18
13183.00,8,94,3957.78
13184.00,15,183,1648.79
13185.00,268,1,71.40
13186.00,40,84,1539.69
13187.00,338,37,236.02
13188.00,12,2,114.60
13189.00,19,29,260.68
13192.00,96,63,911.94
13193.00,62,29,117.88
13194.00,136,3,60.70
13196.00,12,110,1797.78
13198.00,11,229,3384.09
13199.00,4,116,9335.28
13200.00,20,46,870.09
13203.00,10,57,869.46
13207.00,16,8,250.26
13208.00,59,150,1205.90
13209.00,31,329,5820.16
13210.00,94,22,353.48
13211.00,11,56,1197.42
13212.00,10,143,780.58
13213.00,57,92,1518.43
13216.00,268,5,333.74
13217.00,123,7,133.62
13218.00,128,5,62.64
13220.00,79,21,819.29
13221.00,241,66,847.41
13223.00,201,5,163.20
13224.00,61,109,2150.85
13225.00,4,34,6083.04
13226.00,274,16,108.21
13227.00,202,9,257.70
13228.00,82,2,358.00
13229.00,226,10,160.95
13230.00,5,599,2669.96
13232.00,13,207,1357.60
13233.00,75,43,605.12
13235.00,212,59,101.17
13236.00,25,39,727.27
13238.00,12,32,680.83
13239.00,262,21,329.56
13240.00,97,46,439.58
13242.00,113,13,270.40
13243.00,204,58,600.07
13244.00,93,27,121.74
13245.00,51,16,430.50
13246.00,19,143,1922.10
13247.00,18,25,501.12
13248.00,125,26,465.68
13249.00,93,23,711.41
13253.00,157,36,1030.40
13255.00,4,8,164.96
13258.00,12,38,698.58
13259.00,62,87,292.32
13260.00,62,8,557.62
13261.00,269,9,944.10
13262.00,264,11,200.29
13263.00,2,1677,7454.07
13265.00,54,91,2107.66
13266.00,12,202,3717.67
13267.00,3,206,4089.89
13268.00,18,447,3167.64
13269.00,2,308,4964.49
13271.00,38,101,178.26
13272.00,32,15,276.56
13273.00,114,16,138.98
13276.00,64,30,590.93
13277.00,16,8,258.40
13278.00,41,46,542.73
13279.00,65,11,126.30
13280.00,123,85,814.86
13282.00,19,40,1047.84
13283.00,60,7,93.66
13284.00,323,14,196.15
13285.00,24,187,2709.12
13291.00,156,42,361.11
13292.00,39,31,578.94
13294.00,190,54,873.74
13295.00,360,10,201.20
13296.00,138,5,87.40
13297.00,8,59,2089.85
13298.00,2,2,360.00
13299.00,269,5,142.50
13300.00,165,22,365.29
13301.00,104,81,618.09
13302.00,156,1,63.75
13304.00,352,21,300.42
13305.00,5,76,1864.66
13307.00,121,1,15.00
13308.00,23,57,1367.61
13309.00,8,107,1456.79
13310.00,9,77,1083.63
13311.00,5,26,598.57
13313.00,23,78,1555.32
13314.00,2,75,578.66
13316.00,38,88,5815.49
13317.00,65,135,2140.07
13318.00,2,20,640.76
13319.00,6,465,9933.21
13320.00,71,110,1491.70
13321.00,73,11,567.36
13322.00,18,25,199.48
13323.00,4,21,787.85
13324.00,33,77,7072.80
13325.00,82,12,675.30
13327.00,39,88,2872.57
13328.00,317,17,1308.48
13329.00,32,12,436.20
13330.00,93,53,1140.93
13332.00,15,21,350.90
13334.00,83,268,3536.82
13336.00,78,51,795.12
13338.00,155,24,431.82
13339.00,201,54,860.12
13340.00,46,134,10736.48
13341.00,261,42,775.85
13343.00,173,22,303.93
13344.00,68,119,2543.72
13345.00,277,22,377.60
13347.00,71,8,341.36
13348.00,65,14,233.76
13349.00,11,16,247.32
13350.00,17,43,910.72
13351.00,67,16,373.94
13352.00,8,27,389.28
13354.00,72,51,743.53
13355.00,123,32,674.70
13356.00,81,42,768.24
13357.00,258,90,609.95
13358.00,269,29,439.03
13359.00,60,24,431.26
13362.00,4,169,3085.49
13363.00,18,60,992.50
13364.00,67,20,0.00
13365.00,9,132,2191.22
13366.00,51,1,56.16
13368.00,257,29,623.40
13369.00,355,5,-44.53
13372.00,90,23,378.64
13373.00,61,158,3312.25
13375.00,82,38,772.90
13376.00,100,53,1019.76
13379.00,27,97,572.56
13381.00,22,173,3626.81
13382.00,281,15,222.99
13384.00,31,155,4122.28
13385.00,330,35,534.57
13388.00,122,36,627.15
13389.00,12,51,797.96
13390.00,75,13,544.08
13391.00,204,1,59.80
13394.00,2,164,2312.80
13395.00,186,21,307.72
13396.00,22,47,1325.29
13397.00,73,39,1539.18
13398.00,193,26,457.34
13402.00,128,22,312.95
13403.00,18,3,75.00
13404.00,2,11,252.49
13405.00,75,27,572.45
13408.00,2,486,25949.58
13410.00,9,30,988.91
13411.00,108,18,213.55
13414.00,134,24,1390.50
13416.00,44,19,712.50
13417.00,5,28,640.83
13418.00,12,291,5222.20
13419.00,64,16,221.06
13420.00,135,10,140.35
13421.00,41,105,1848.98
13422.00,52,128,2601.55
13425.00,109,78,1624.21
13426.00,1,159,3550.70
13427.00,20,29,582.60
13428.00,11,74,218.47
13429.00,11,67,1006.80
13430.00,19,54,648.69
13431.00,68,46,1269.10
13434.00,75,10,534.24
13435.00,6,103,3794.49
13436.00,2,12,196.89
13437.00,15,167,3408.06
13439.00,256,54,283.71
13441.00,92,13,296.64
13447.00,24,62,1104.23
13448.00,17,181,3021.71
13449.00,24,19,291.88
13450.00,27,71,2043.72
13451.00,27,444,2916.45
13452.00,260,2,590.00
13453.00,166,17,356.98
13455.00,25,23,314.41
13456.00,18,65,1737.82
13458.00,8,394,9537.92
13460.00,30,17,183.44
13461.00,39,27,1445.00
13462.00,184,10,143.25
13464.00,59,41,674.68
13466.00,101,18,297.95
13467.00,11,99,1083.71
13468.00,2,272,5074.52
13470.00,100,10,165.00
13471.00,2,260,2531.58
13473.00,61,22,417.54
13474.00,237,64,229.59
13475.00,192,86,1431.78
13476.00,179,61,1092.77
13477.00,38,81,1441.53
13479.00,199,16,291.00
13481.00,46,111,1781.06
13482.00,233,11,184.64
13483.00,66,10,140.34
13484.00,242,8,313.80
13485.00,234,23,454.24
13486.00,79,69,1122.41
13487.00,58,34,575.40
13488.00,18,382,7528.69
13489.00,106,14,449.52
13491.00,52,79,1116.92
13492.00,137,50,1269.84
13493.00,276,8,618.63
13494.00,312,18,316.26
13495.00,8,34,1533.92
13496.00,11,36,617.93
13497.00,283,10,194.55
13499.00,18,45,1146.96
13500.00,24,67,1136.77
13501.00,243,53,1310.47
13502.00,17,18,292.00
13503.00,72,17,216.85
13504.00,65,22,295.93
13505.00,68,227,4282.88
13506.00,313,12,151.70
13507.00,4,162,2479.16
13508.00,244,12,110.97
13509.00,9,44,979.72
13510.00,2,117,1785.16
13512.00,261,15,251.21
13513.00,127,10,205.10
13514.00,74,4,152.20
13515.00,73,59,891.12
13516.00,22,44,1389.41
13517.00,60,143,2109.07
13518.00,86,38,659.44
13519.00,51,9,110.80
13520.00,59,89,3184.35
13521.00,2,436,1093.65
13522.00,31,5,125.80
13523.00,34,147,3188.43
13524.00,41,27,680.18
13525.00,15,6,628.78
13527.00,34,224,2263.76
13529.00,79,15,307.76
13531.00,206,7,178.35
13532.00,34,66,210.31
13533.00,183,76,270.79
13534.00,3,342,5613.08
13536.00,2,179,3448.29
13538.00,44,25,1280.85
13539.00,86,38,605.84
13544.00,40,87,291.41
13546.00,13,98,626.99
13548.00,97,124,682.41
13549.00,26,52,916.12
13551.00,320,4,91.80
13552.00,67,121,3539.53
13555.00,74,136,4149.28
13557.00,29,34,584.06
13558.00,6,175,605.06
13560.00,8,33,174.37
13561.00,216,14,141.86
13562.00,82,82,1799.33
13563.00,85,49,777.53
13564.00,145,44,107.74
13565.00,20,38,240.22
13566.00,41,176,874.71
13568.00,174,44,192.85
13569.00,18,61,255.43
13570.00,244,27,239.49
13571.00,13,341,2092.32
13572.00,206,33,1384.25
13573.00,51,26,294.40
13575.00,24,46,732.07
13576.00,11,119,6354.15
13577.00,26,85,1658.30
13579.00,15,14,302.34
13581.00,310,10,118.00
13583.00,156,53,781.03
13584.00,307,24,142.40
13587.00,32,11,347.00
13588.00,16,180,2445.12
13589.00,15,21,379.65
13590.00,12,89,1976.12
13591.00,65,58,1117.13
13592.00,36,16,247.96
13593.00,109,129,1990.28
13594.00,53,26,396.97
13596.00,6,166,697.04
13598.00,48,41,167.42
13599.00,2,247,4677.76
13600.00,313,19,219.52
13601.00,46,99,693.32
13602.00,65,23,428.89
13603.00,27,27,164.34
13606.00,30,43,280.54
13607.00,41,98,678.01
13610.00,13,228,1115.43
13611.00,90,76,1158.20
13614.00,25,201,1610.46
13615.00,313,24,399.99
13617.00,41,44,544.18
13618.00,174,13,177.34
13621.00,117,19,213.85
13623.00,31,86,672.44
13626.00,253,19,257.23
13627.00,60,94,1624.02
13629.00,24,59,7792.36
13630.00,6,80,1995.68
13631.00,100,12,3021.77
13632.00,25,147,2117.02
13634.00,34,188,1575.16
13635.00,68,62,1071.03
13636.00,37,64,941.62
13637.00,53,101,810.50
13638.00,16,8,122.64
13639.00,75,40,1033.34
13642.00,216,66,354.80
13643.00,32,28,519.44
13644.00,9,148,2597.52
13645.00,121,5,252.10
13647.00,10,80,1670.22
13649.00,257,8,148.80
13650.00,17,98,1809.34
13651.00,36,6,94.20
13652.00,46,45,786.28
13654.00,44,166,2707.33
13655.00,115,56,932.97
13656.00,165,49,379.65
13657.00,11,16,382.14
13658.00,10,112,2421.47
13659.00,198,108,1550.85
13662.00,86,58,879.08
13663.00,180,13,189.47
13666.00,61,12,84.65
13667.00,150,87,305.02
13668.00,3,501,6216.07
13669.00,51,9,218.55
13670.00,76,25,349.70
13672.00,302,16,-71.46
13673.00,19,65,396.92
13675.00,152,25,486.82
13678.00,152,16,232.60
13680.00,2,216,2202.31
13681.00,18,57,827.83
13682.00,188,3,59.50
13684.00,286,31,64.23
13685.00,3,39,3119.44
13686.00,183,8,72.00
13689.00,64,6,910.00
13690.00,60,9,172.25
13692.00,25,55,1466.87
13693.00,326,4,-32.00
13694.00,4,579,61810.98
13695.00,32,90,2504.13
13697.00,39,12,151.30
13699.00,156,14,308.58
13700.00,27,197,2265.12
13703.00,319,1,99.50
13704.00,6,135,2295.31
13705.00,8,18,393.72
13706.00,303,20,330.79
13707.00,268,48,806.41
13708.00,272,51,296.88
13709.00,4,346,6249.11
13710.00,32,8,180.48
13711.00,219,13,252.06
13712.00,247,10,228.84
13715.00,282,93,781.29
13716.00,270,21,138.28
13717.00,33,103,1432.26
13718.00,247,12,306.55
13719.00,16,60,1041.68
13720.00,117,43,799.90
13721.00,37,28,524.14
13722.00,121,86,2369.16
13723.00,218,6,199.85
13725.00,50,118,1809.81
13726.00,39,42,1079.66
13727.00,29,20,333.48
13728.00,37,63,1016.14
13730.00,136,43,752.60
13731.00,220,38,610.59
13732.00,29,33,491.86
13735.00,25,208,2766.18
13736.00,6,194,724.00
13737.00,201,30,339.60
13739.00,19,3,216.90
13740.00,241,23,350.75
13741.00,72,35,666.33
13742.00,17,323,3102.42
13743.00,3,42,1340.15
13744.00,96,72,1156.36
13745.00,152,26,291.54
13748.00,96,27,744.25
13750.00,54,24,1647.26
13751.00,289,9,296.25
13752.00,125,76,1186.28
13753.00,288,35,741.26
13754.00,152,12,282.60
